iBeacon ID,Time,iBeacon Mac,RSSI,Location
492,860175299,54:4A:16:6F:01:CE,-73,Box2
437,860179193,54:4A:16:6F:05:05,-75,Box2
419,860180570,54:4A:16:6F:01:DA,-74,Box2
419,860185952,54:4A:16:6F:01:DA,-74,Box2
492,860188173,54:4A:16:6F:01:CE,-69,Box2
444,860188192,54:4A:16:6F:04:23,-55,Box2
437,860188205,54:4A:16:6F:05:05,-74,Box2
419,860188246,54:4A:16:6F:01:DA,-70,Box2
492,860188260,54:4A:16:6F:01:CE,-77,Box2
444,860188291,54:4A:16:6F:04:23,-56,Box2
419,860188321,54:4A:16:6F:01:DA,-73,Box2
492,860188344,54:4A:16:6F:01:CE,-72,Box2
437,860188359,54:4A:16:6F:05:05,-71,Box2
419,860188681,54:4A:16:6F:01:DA,-79,Box2
444,860188724,54:4A:16:6F:04:23,-56,Box2
437,860189096,54:4A:16:6F:05:05,-75,Box2
419,860189579,54:4A:16:6F:01:DA,-73,Box2
492,860189760,54:4A:16:6F:01:CE,-77,Box2
437,860190004,54:4A:16:6F:05:05,-75,Box2
419,860190473,54:4A:16:6F:01:DA,-73,Box2
444,860191299,54:4A:16:6F:04:23,-57,Box2
419,860191379,54:4A:16:6F:01:DA,-81,Box2
492,860191566,54:4A:16:6F:01:CE,-74,Box2
437,860191813,54:4A:16:6F:05:05,-72,Box2
419,860192294,54:4A:16:6F:01:DA,-75,Box2
492,860192470,54:4A:16:6F:01:CE,-70,Box2
444,860192578,54:4A:16:6F:04:23,-56,Box2
492,860193374,54:4A:16:6F:01:CE,-71,Box2
437,860193630,54:4A:16:6F:05:05,-72,Box2
444,860193881,54:4A:16:6F:04:23,-61,Box2
419,860194112,54:4A:16:6F:01:DA,-74,Box2
492,860194421,54:4A:16:6F:01:CE,-78,Box2
437,860194566,54:4A:16:6F:05:05,-67,Box2
419,860194996,54:4A:16:6F:01:DA,-76,Box2
444,860195157,54:4A:16:6F:04:23,-61,Box2
437,860195429,54:4A:16:6F:05:05,-72,Box2
492,860196063,54:4A:16:6F:01:CE,-70,Box2
437,860196334,54:4A:16:6F:05:05,-77,Box2
444,860196452,54:4A:16:6F:04:23,-56,Box2
419,860196811,54:4A:16:6F:01:DA,-78,Box2
492,860196968,54:4A:16:6F:01:CE,-76,Box2
437,860197238,54:4A:16:6F:05:05,-74,Box2
444,860197745,54:4A:16:6F:04:23,-56,Box2
492,860197883,54:4A:16:6F:01:CE,-74,Box2
437,860198152,54:4A:16:6F:05:05,-72,Box2
419,860198623,54:4A:16:6F:01:DA,-73,Box2
437,860200899,54:4A:16:6F:05:05,-72,Box2
444,860201581,54:4A:16:6F:04:23,-60,Box2
419,860202280,54:4A:16:6F:01:DA,-74,Box2
492,860203347,54:4A:16:6F:01:CE,-76,Box2
444,860207883,54:4A:16:6F:04:23,-60,Box2
419,860213135,54:4A:16:6F:01:DA,-70,Box2
492,860213271,54:4A:16:6F:01:CE,-85,Box2
444,860213301,54:4A:16:6F:04:23,-56,Box2
419,860215867,54:4A:16:6F:01:DA,-74,Box2
492,860218441,54:4A:16:6F:01:CE,-72,Box2
437,860220807,54:4A:16:6F:05:05,-76,Box2
419,860222191,54:4A:16:6F:01:DA,-71,Box2
492,860223233,54:4A:16:6F:01:CE,-84,Box2
419,860227620,54:4A:16:6F:01:DA,-71,Box2
492,860227802,54:4A:16:6F:01:CE,-73,Box2
444,860227891,54:4A:16:6F:04:23,-60,Box2
437,860231716,54:4A:16:6F:05:05,-77,Box2
444,860276636,54:4A:16:6F:04:23,-72,Box6
492,860276703,54:4A:16:6F:01:CE,-50,Box6
437,860277879,54:4A:16:6F:05:05,-80,Box6
444,860280281,54:4A:16:6F:04:23,-55,Box6
419,860282702,54:4A:16:6F:01:DA,-74,Box6
437,860284146,54:4A:16:6F:05:05,-73,Box6
419,860287311,54:4A:16:6F:01:DA,-71,Box6
444,860290224,54:4A:16:6F:04:23,-56,Box6
419,860290912,54:4A:16:6F:01:DA,-74,Box6
